"","Code","ProjectBase","n"
"465","DESCUAF","Nevada SNDO",1
"466","DESCUAF","Washington Wenatchee  FO",9
"467","DESCUAF","Wyoming Lander FO",2
"468","AF66","California NorCal",1
"469","AF66","Nevada BMDO",1
"470","CHENOAF","California NorCal",3
"471","CHENOAF","Nevada BMDO",2
"472","CHENOAF","Nevada EKDO",1
"473","CHENOAF","Washington Wenatchee  FO",4
"474","AG01","Arizona Agua Fria NM",3
"475","AG01","California NorCal",4
"476","AG01","California SurpriseFO ESR",12
"477","AG01","Colorado White River FO",20
"478","AG01","Jackson Mountains",1
"479","AG01","Nevada BMDO",6
"480","AG01","Nevada SNDO",14
"481","ARCAV","Nevada Winnemucca ESR",3
"482","PF60","California NorCal",2
"483","PF60","Nevada Winnemucca ESR",12
"484","PF56","California NorCal",5
"485","PF56","Nevada Winnemucca ESR",5
"486","SH44","Nevada Winnemucca ESR",3
"487","ELCI2","Nevada Winnemucca ESR",2
"488","RATE","Colorado White River FO",28
"489","RATE","Nevada Winnemucca ESR",2
"490","RATE","Nevada WMDO",1
"491","SECA2","Nevada Winnemucca ESR",1
"492","SECA2","Nevada WMDO",8
"493","STTH2","Nevada Winnemucca ESR",2
"494","PF1","Jackson Mountains",2
"495","PF1","Nevada Winnemucca ESR",12
"496","PF1","Nevada WMDO",8
"497","ERIOG2","Nevada Winnemucca ESR",4
"498","AF1","Nevada Winnemucca ESR",8
"499","PF13","California NorCal",5
"500","PF13","Colorado White River FO",2
"501","PF13","Nevada CCDO",4
"502","PF13","Nevada EKDO",1
"503","PF13","Nevada Winnemucca ESR",4
"504","PF13","Nevada WMDO",3
"505","PF13","Wyoming Lander FO",7
"506","PF07","California NorCal",6
"507","PF07","Colorado White River FO",1
"508","PF07","Nevada BMDO",1
"509","PF07","Nevada CCDO",3
"510","PF07","Nevada EKDO",1
"511","PF07","Nevada SNDO",6
"512","PF07","Nevada Winnemucca ESR",1
"513","PF07","Nevada WMDO",10
"514","AF06","California NorCal",1
"515","AF06","Jackson Mountains",1
"516","AF06","Nevada BMDO",26
"517","AF06","Nevada CCDO",3
"518","AF06","Nevada EKDO",1
"519","AF06","Nevada EYDO",1
"520","AF06","Nevada SNDO",6
"521","AF06","Nevada Winnemucca ESR",4
"522","AF06","Nevada WMDO",2
"523","AF06","New Mexico RGdNNM",1
"524","AF07","California NorCal",4
"525","AF07","California Riverside East SEZ",2
"526","AF07","Idaho Bruneau FO",3
"527","AF07","Nevada BMDO",15
"528","AF07","Nevada CCDO",3
"529","AF07","Nevada EKDO",1
"530","AF07","Nevada SNDO",22
"531","AF07","Nevada WMDO",1
"532","ASTRA02","Colorado White River FO",5
"533","BERE","Colorado White River FO",6
"534","BERE","Nevada EKDO",3
"535","LARE","Colorado White River FO",7
"536","ERCO24","Colorado Gunnison FO",8
"537","ERCO24","Colorado White River FO",5
"538","BODR","Colorado White River FO",2
"539","CRYPTAA","Colorado White River FO",4
"540","ERIOGAA","Colorado White River FO",1
"541","HIJA","Colorado Grand Junction FO",3
"542","HIJA","Colorado White River FO",17
"543","HIJA","Nevada BMDO",2
