,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,DRYLAND CAREX,GOOD ARTEMISIA,HALOPHYTIC SHRUB,HIMTNMEADOWSPP,MEADOW CAREX,OTHER ALLIUM,OTHER CAREX,SHRUB,SUB-SHRUB,TREE,XEROPHYTIC SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,TOTALWTHECTARE
411,2015,DG-IH HET,ZURHEN UUL,DG-Ih het / zurhen uul,II,Sandy loam,12,2,2.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,1,0,6.75,0,0,0,1.75,1.75,0,0,0,3,8.5,0,0,0,0,0,6.5,0,0,0,0,0,38.75,0,0,0,0,0,0.25,38.75,0,0.25,63,19,13,192.2044983
412,2015,DG-MANDAKH,ALKHAN TEEG,DG-Mandakh / Alkhan teeg,III,Sandy,16,2,2.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,5.75,NA,0,0,0.5,NA,0,0,0,0,NA,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,7,NA,NA,NA,17.75,52.25,9,146.003418
413,2015,DG-MANDAKH,BAYANHOSHUU,DG-Mandakh / Bayanhoshuu,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,22.5,72.75,6,132.4030914
414,2015,DG-MANDAKH,BUDAR,DG-Mandakh / Budar,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,42.25,NA,0,0,2,NA,0,0,0,0,NA,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5.5,NA,NA,NA,49.75,36.75,10,284.0066528
415,2015,DG-MANDAKH,TOLI,DG-Mandakh / Toli,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,7.5,NA,0,0,0.25,NA,0,0,0,0,NA,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,1.75,NA,NA,NA,16.25,76.5,14,100.0023422
416,2015,DG-MANDAKH,TUHUM,DG-Mandakh / Tuhum,I,Loamy,15,1,1.1,1,Yes,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,7.25,NA,0,0,1.25,NA,0,0,0,0,NA,0.75,0,0,0,15.5,0,0,0,1,0,0,0,0,0,0.25,0,0.25,0,0,4,NA,NA,NA,37,62.75,18,73.80172729
417,2015,DG-MANDAKH,UEKHII,DG-Mandakh / Uekhii,IV,Sandy,16,3,3.1,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,7.25,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3.5,NA,NA,NA,35,57.25,10,563.2131958
418,2015,DG-SAIHANDULAAN,JARGALANT,DG-Saihandulaan / jargalant,I,High water table,10,1,1.1,1,Yes,"ACSP dominated solonchak in HWT ESG, Steppe",0,1.5,NA,0,0,0.5,NA,0,0,0,0,NA,3.5,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0.25,0,0,0,0,0,NA,NA,NA,25.25,71.5,7,96.60225677
419,2015,DG-SAIHANDULAAN,OLZIIT,DG-Saihandulaan / olziit,II,Loamy,15,1,1.2,2,No,"STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",1.25,9.25,0,0,0,1,3,0,0,0,0,0,5.25,0,0,0,6.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.25,0,0,0,29.75,68,11,61.80144501
420,2015,DG-SAIHANDULAAN,SHAR CHULUUT,DG-Saihandulaan / shar chuluut,III,Sandy,16,2,2.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,6,0,0,0,16.5,2.5,0,0,0,0,0,0.25,3.5,0,0,6.25,0,0,0,0,2.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,43.75,55,15,198.8046417
